SKU,Title,Quantity,"30 Days Item Sale","Raw Cost","Ex Rate","Shipping Fee","True Cost",D1,P1,"Sale Price",MS,FZ,MG,MD,ETS,MC,LL,P4C,CPH
SRN-HTC-486,"HTC Vivid Touch Screen Digitizer - White",13,0,0.00,0.00,0.00,0.00,9.9500,7.8900,14.9900,,,,,10.67,,,,
SRN-HTC-528,"HTC Windows 8x Digitizer Touch Screen",1,0,30.00,6.32,6.32,5.75,10.3500,8.9900,8.9900,,,,,10.67,,,,
SRN-HTC-554,"HTC Verizon Droid DNA LCD + Touch Screen Digitizer",3,0,100.00,6.50,8.78,16.74,26.6100,24.4100,27.4900,,,,,28.36,,,,38.99
SRN-HTC-606,"HTC Trophy LCD and Touch Screen Digitizer with Frame",2,0,0.00,0.00,0.00,0.00,38.9500,,7.9900,,,,,46.97,,,,
SRN-LGM-160,"LG Optimus L9 P769 Touch Screen Digitizer",2,0,35.00,6.50,5.67,6.26,9.0250,7.6900,12.4900,,,,,9.14,,,,
SRN-LGM-246,"LG Venice LG730 LCD Screen Display",74,0,0.00,0.00,0.00,0.00,6.9500,6.8900,10.4900,,,,,9.14,,,,
SRN-LGM-264,"LG Intuition VS950 LCD Screen",0,0,0.00,0.00,0.00,0.00,18.9500,,0.0000,,,,,25.25,,,,
SRN-LGM-558,"LG Galaxy Nexus 4 E960 Back Housing Glass without Frame",0,0,0.00,0.00,0.00,0.00,8.9500,8.8900,0.0000,,,,,12.39,,,,
SRN-LGM-571,"LCD + Touch Screen Digitizer for LG G Flex D950 D955 D958 D959 F340 LS995 Black with Frame",0,0,520.00,6.65,6.50,79.17,88.0600,88.0600,0.0000,,,,,,,,125.00,
SRN-LGM-647,"LG Optimus G Pro E980 LCD Assembly with Frame - Black",0,0,185.00,6.88,8.67,28.15,37.3000,34.6900,0.0000,,,,,70.92,,,,
SRN-NOK-060,"Nokia Lumia 820 LCD + Touch Screen Digitizer - Black",2,0,280.00,6.45,8.54,44.73,61.6300,56.0900,34.4900,,,,,,,,65.00,
SRN-NOK-165,"LCD and Touch Screen Digitizer for Nokia Lumia 925 - Black",0,0,0.00,0.00,0.00,0.00,49.9900,,0.0000,,,,,51.67,,,50.00,
SRN-SAM-1498,"LCD and Touch Screen Digitizer with Frame for Samsung Galaxy S7 Active - Grey",0,0,0.00,0.00,0.00,0.00,199.9900,,143.8900,,,,299.99,,,,,
SRN-SAM-868,"LCD Screen for Samsung Galaxy Mega 5.8",0,0,100.00,6.50,0.00,15.38,25.3170,23.2900,23.4900,,,,,25.84,,,30.00,29.99
TAB-SRN-751,"Touch Screen Digitizer Replacement for Samsung Galaxy Tab 3 Lite T111 - White",0,0,0.00,0.00,0.00,0.00,12.9900,,9.9900,,14.99,,,,,,,
