SKU,Title,Quantity,"30 Days Item Sale","Raw Cost","Ex Rate","Shipping Fee","True Cost",D1,P1,"Sale Price",MS,FZ,MG,MD,ETS,MC,LL,P4C,CPH
FLX-SAM-790,"Charging Port Flex Cable for Samsung Galaxy Note 3 N900T ",5,0,15.00,6.85,3.44,2.69,8.0370,6.7900,2.7900,2.85,5.49,3.50,0.00,6.56,,,0.00,7.90
FLX-SAM-792,"Charging Port Flex Cable for Samsung Galaxy Note 3 N900R ",11,0,19.00,6.65,0.54,2.94,8.0600,6.7900,3.4900,3.15,,3.50,0.00,,,,,7.90
FLX-SAM-794,"Charging Port Flex Cable for Samsung Galaxy Note 3 N900V ",2,4,15.00,6.85,4.11,2.79,8.1700,8.1700,3.0900,3.11,8.49,2.99,0.00,6.56,,,0.00,7.90
FLX-SAM-796,"LCD Tester for Samsung Galaxy S4 ",6,0,8.00,6.78,1.52,1.40,3.5800,2.7900,1.4900,1.48,,,0.00,2.58,,,0.00,
FLX-SAM-798,"Charger Port Front Keyboard & Mic Flex Cable Ribbon for Samsung Galaxy S4 Active",7,1,16.00,6.32,1.01,2.69,7.9000,6.6900,4.4900,,9.99,0.00,0.00,,,,,
FLX-SAM-800,"Audio Headphone Jack Speaker Flex Cable for Samsung Galaxy Note 3 N9000 N900A ",5,0,5.00,6.72,1.28,0.93,3.9790,3.2900,1.9900,0.00,0.00,,0.00,1.77,,,0.00,
FLX-SAM-802,"Stylus S Pen Insert Writing Flex Cable for Samsung Galaxy Note 3",36,0,15.00,6.56,0.73,2.40,5.6900,4.1900,2.9900,,,0.00,0.00,,,,,
FLX-SAM-804,"Power Button Connector Flex Cable for Samsung Galaxy Mega 6.3",2,0,4.00,6.77,3.06,1.04,2.4250,2.0900,2.9900,,7.99,0.00,,,,,,
FLX-SAM-806,"Ear Speaker Earpiece Audio Jack Flex Cable for Samsung Galaxy Note 8.0 Rev 0.4",29,0,0.00,0.00,0.00,0.00,5.9500,3.1900,0.9900,,,0.00,,,,,,
FLX-SAM-808,"Micro SD Sim Card Tray Flex Cable for Samsung Galaxy S4 Active",2,0,12.00,6.32,2.93,2.36,5.3100,3.8900,2.4900,,,1.99,,,,,,
FLX-SAM-810,"Charging Port Microphone Flex Cable for Samsung Galaxy S4 i9505 REV 25",3,0,12.00,6.32,2.55,2.30,5.9900,4.1900,2.8900,2.10,0.00,0.00,,0.00,,,,
FLX-SAM-812,"Samsung Galaxy Note 3 OEM Stylus Pen - Black",2,0,15.00,6.85,2.46,2.55,5.6300,4.1900,0.0000,,,,,2.84,,,0.00,
FLX-SAM-814,"Samsung Galaxy Note 3 OEM Stylus Pen - White",10,0,15.00,6.80,7.02,3.24,7.8300,6.1900,0.0000,,,,,2.84,,,0.00,
FLX-SAM-816,"LCD Touch Screen Tester Flex Cable for Samsung Galaxy Note 3 ",14,0,12.00,6.12,2.16,2.31,5.1975,3.8900,1.9900,1.71,,,0.00,3.09,,,,
FLX-SAM-820,"Ear Speaker Flex Cable for Samsung Galaxy Mega 6.3",3,1,10.00,6.88,3.53,1.97,4.4850,3.6900,2.4900,,3.49,0.99,,,,,,
FLX-SAM-822,"Loudspeaker Flex Cable for Samsung Galaxy Mega 6.3 - White",2,0,15.00,6.32,0.50,2.45,6.6780,5.2900,3.3900,0.00,7.49,0.00,,,,,,
FLX-SAM-826,"Vibrator Motor & Power Key Button Flex Cable for Samsung Galaxy Note 2 ",185,1,0.00,0.00,0.00,0.00,7.9500,5.9900,0.9900,,,,0.00,1.38,,,0.00,
FLX-SAM-840,"Earpiece Speaker Headphone Jack Vibrator Flex for Samsung Galaxy S2",3,0,0.00,0.00,0.00,0.00,10.9500,,0.9900,,,0.00,,,,,,
FLX-SAM-842,"Power Volume Buttons for Samsung Galaxy S2 I777 I9100 ",0,0,0.00,0.00,0.00,0.00,7.9500,,0.9900,,,0.00,,,,,,
FLX-SAM-852,"Loudspeaker With Housing for Samsung Galaxy S2 EPIC 4G",1,0,0.00,0.00,0.00,0.00,7.9500,,0.9900,,,0.00,,,,,,
FLX-SAM-860,"Home Button Flex Cable Keypad for Samsung Galaxy S4 (CDMA)",43,0,9.00,6.50,1.36,1.59,3.6600,2.9900,1.8900,1.95,3.49,0.50,,3.93,,,,
FLX-SAM-862,"Charging Port Flex Cable for Samsung Galaxy Note 2 i605 ",0,0,9.00,6.80,2.21,1.65,5.9900,4.3900,0.9900,1.24,,0.00,0.00,4.93,,,,
FLX-SAM-868,"Front Camera Flex for Samsung Galaxy Tab 2 7.0",3,0,0.00,0.00,0.00,0.00,6.9500,,0.9900,,,,,1.76,,,,
FLX-SAM-870,"Back Camera Flex for Samsung Galaxy Tab 2 7.0",4,0,0.00,0.00,0.00,0.00,14.9500,,0.9900,,,,,3.31,,,,
