SKU,Title,"Raw Cost","Ex Rate","Shipping Fee","True Cost",D1,P1,"Sale Price",MS,FZ,MG,MD,ETS,MC,LL,P4C,CPH
APL-003-1160,"Earpiece Audio Speaker for iPhone 5",2.00,6.89,3.15,0.75,1.5000,1.2900,0.0000,0.99,2.99,0.50,0.99,,,,,
FLX-HTC-440,"HTC Thunderbolt Keypad Light Flex Cable",0.00,0.00,0.00,0.00,3.9500,1.4900,0.0000,,,,0.99,,,,,
APL-002-0831,"Touch Screen Digitizer Mid-Frame Bezel for iPad 2 3 4 Yellow",8.00,6.12,3.63,1.90,4.3700,3.5900,0.0000,,,0.60,1.99,,,,,
SRN-MOT-150,"Motorola Admiral Screen Digitizer",0.00,0.00,0.00,0.00,20.9500,9.8900,0.0000,,11.99,,,,,,,
FLX-SAM-702,"Samsung Galaxy S4 i9500 i9505 Loudspeaker Buzzer - White - International",0.00,0.00,0.00,0.00,14.9500,12.9900,0.0000,,,,1.49,,,,,
FLX-SAM-703,"Samsung Galaxy S4 i9500 i9505 i337 M919 Earpiece Speaker Proximity Sensor Flex Cable",0.00,0.00,0.00,0.00,3.9500,,0.0000,2.19,6.49,1.50,1.49,,,,,
FLX-SAM-704,"Samsung Galaxy S3 i9300 T999 i747 i535 L710  Home Button - White",0.00,0.00,0.00,0.00,2.9500,0.8900,0.0000,1.99,,0.60,0.99,,,,,
FLX-LGM-160,"LG Galaxy Nexus 4 E960 Charging Port Flex Cable",18.00,6.32,0.83,2.98,6.7050,4.9900,0.0000,4.50,9.99,,,,,,,
FLX-SAM-705,"Samsung Galaxy Note 2 i317 T889 N7105 Sim Card Memory SD Card Flex Cable Rev 0.8",15.00,6.50,1.36,2.52,5.7200,4.1900,0.0000,,,,2.49,,,,,
FLX-SAM-706,"Samsung Galaxy Note N7000 i9220 Loudspeaker Buzzer - Black",0.00,0.00,0.00,0.00,11.9500,9.9900,0.0000,,,0.60,,,,,,
FLX-SAM-707,"Samsung Galaxy S4 i9500 USB Charging Port Microphone Flex Cable",18.00,6.89,2.21,2.93,6.2300,4.5700,0.0000,,,,3.99,,,,,
FLX-SAM-708,"Samsung Tablet P1000 P1010 T849 i987 Power Volume Flex Cable",0.00,0.00,0.00,0.00,11.9500,9.9900,0.0000,,,0.80,,,,,,
FLX-SAM-710,"Samsung Galaxy S4 i9500 i9505 i337 M919 i545 L720 Headphone Audio Jack Flex Cable",0.00,0.00,0.00,0.00,10.9500,8.9900,0.0000,5.99,6.99,,0.99,,,,,
FLX-SAM-713,"Samsung Galaxy Tab SGH-T849 i987 P1000 Keypad Button Flex Cable REV 0.5",0.00,0.00,0.00,0.00,14.9500,12.9900,0.0000,,,1.50,,,,,,
FLX-LGM-166,"LG Optimus 4X HD P880 Audio Headphone Jack Flex Cable REV 1.1",0.00,0.00,0.00,0.00,8.9500,6.3900,0.0000,,,0.99,,,,,,
FLX-SAM-716,"Samsung Galaxy S4 i9500 i9505 i337 M919 i545 L720 Home Button - Black Mist",2.00,6.43,1.47,0.54,1.3500,1.1900,0.0000,3.10,2.99,0.60,0.99,,,,,
FLX-SAM-717,"Samsung Galaxy S3 i9300 T999 i747 i535 L710 Home Button - Red",0.00,0.00,0.00,0.00,2.9500,0.9900,0.0000,,,0.60,,,,,,
