"Invoice Date",Description,Credit,Debit,Balance,Tracking,Comments
"07/14/15 02:09 PM",,"2,295.75",0.00,"-3,914.94",2926264084,"Received 07/10/2015"
"07/13/15 02:38 PM",,"8,858.82",0.00,"4,943.89",2926285795,"Received 07/10/2015"
"07/14/15 12:44 PM",,"1,629.08",0.00,"6,572.97",2926285832,"Received 07/10/2015"
"07/14/15 03:09 PM",,"2,491.83",0.00,"9,064.80",2926285843,"Received 07/10/2015"
"07/14/15 04:08 PM",,"1,939.54",0.00,"11,004.34",2926285854,"Received 07/10/2015"
"07/13/15 01:34 PM",,"3,200.98",0.00,"14,205.32",2926306515,"Received 07/13/2015"
"07/13/15 02:20 PM",,"1,754.90",0.00,"15,960.23",2926306541,"Received 07/13/2015"
"07/14/15 02:05 PM",,"3,488.56",0.00,"19,448.79",2926306563,"Received 07/13/2015"
"07/13/15 12:00 AM",,0.00,"40,000.00","-20,551.21",,
"07/16/15 02:08 PM",,"1,652.29",0.00,"-18,898.93",2926349134,"Received 07/14/2015"
"07/17/15 01:46 PM",,"9,831.70",0.00,"-9,067.23",2926349646,"Received 07/14/2015"
"07/16/15 03:21 PM",,"1,904.41",0.00,"-7,162.81",2926349160,"Received 07/14/2015"
"07/20/15 12:51 PM",,"2,303.92",0.00,"-4,858.89",2926349193,"Received 07/14/2015"
"07/16/15 03:45 PM",,"2,557.19",0.00,"-2,301.70",2926349230,"Received 07/14/2015"
"07/20/15 11:56 AM",,"2,442.81",0.00,141.11,2926349263,"Received 07/14/2015"
"07/17/15 11:02 AM",,"3,314.54",0.00,"3,455.65",2926381150,"Received 07/15/2015"
"07/20/15 10:48 AM",,"3,121.57",0.00,"6,577.22",2926370915,"Received 07/15/2015"
"07/20/15 01:05 PM",,"1,227.12",0.00,"7,804.34",2926371862,"Received 07/15/2015"
"07/20/15 03:41 PM",,"2,651.14",0.00,"10,455.49",2926371884,"Received 07/15/2015"
"07/20/15 01:56 PM",,"3,129.08",0.00,"13,584.57",2926371906,"Received 07/15/2015"
"07/20/15 03:32 PM",,"2,226.31",0.00,"15,810.88",2926371910,"Received 07/15/2015"
"07/21/15 09:58 AM",,"2,700.16",0.00,"18,511.04",2926400223,"Received 07/16/2015"
"07/21/15 09:56 AM",,"3,011.44",0.00,"21,522.48",2926400256,"Received 07/16/2015"
"07/21/15 10:00 AM",,"3,243.46",0.00,"24,765.94",2926400315,"Received 07/16/2015"
"07/21/15 11:43 AM",,"1,022.30",0.00,"25,788.25",8547854965,"Received 07/17/2015"
"07/20/15 03:01 PM",,"8,415.03",0.00,"34,203.28",6617343180,"Received 07/17/2015"
"07/21/15 10:08 AM",,"2,792.48",0.00,"36,995.76",6617342362,"Received 07/17/2015"
"07/20/15 02:00 PM",,"3,625.82",0.00,"40,621.58",6617342314,"Received 07/17/2015"
"07/21/15 09:54 AM",,"2,859.48",0.00,"43,481.06",6617342141,"Received 07/17/2015"
"07/21/15 11:30 AM",,"5,419.12",0.00,"48,900.18",6617362356,"Received 07/20/2015"
"07/21/15 10:50 AM",,"3,441.99",0.00,"52,342.17",6617362371,"Received 07/20/2015"
"07/21/15 10:16 AM",,"3,408.82",0.00,"55,750.99",6617362415,"Received 07/20/2015"
"07/20/15 12:00 AM",,0.00,"40,000.00","15,750.99",,
"07/21/15 12:00 AM",,0.00,"40,000.00","-24,249.01",,
"07/23/15 12:09 PM",,"4,533.50",0.00,"-19,715.51",6617402013,"Received 07/22/2015"
"07/24/15 04:26 PM",,"4,009.80",0.00,"-15,705.71",6617401943,"Received 07/22/2015"
"07/23/15 12:07 PM",,"7,130.72",0.00,"-8,574.99",6617424715,"Received 07/22/2015"
"07/24/15 04:33 PM",,"3,672.39",0.00,"-4,902.60",6617423411,"Received 07/22/2015"
"07/24/15 01:52 PM",,"2,892.16",0.00,"-2,010.44",6617423466,"Received 07/22/2015"
"07/24/15 12:04 PM",,"2,724.67",0.00,714.23,6617423374,"Received 07/23/2015"
"07/27/15 11:24 AM",,"2,729.58",0.00,"3,443.80",6617423481,"Received 07/23/2015"
"07/29/15 01:21 PM",,"1,380.72",0.00,"4,824.52",5009763286,"Received 07/23/2015"
"07/27/15 11:05 AM",,"4,305.56",0.00,"9,130.08",9027380655,"Received 07/24/2015"
"07/27/15 03:06 PM",,"2,852.12",0.00,"11,982.20",9027381296,"Received 07/24/2015"
"07/24/15 12:00 AM",,0.00,"40,000.00","-28,017.80",,
"07/27/15 04:00 PM",,"3,292.48",0.00,"-24,725.31",9027381311,"Received 07/26/2015"
"07/27/15 11:04 AM",,"8,140.52",0.00,"-16,584.79",9027389173,"Received 07/26/2015"
"07/28/15 04:35 PM",,"1,523.69",0.00,"-15,061.10",9027390330,"Received 07/26/2015"
"07/28/15 04:14 PM",,"2,773.69",0.00,"-12,287.41",9027390374,"Received 07/26/2015"
"07/28/15 11:02 AM",,"3,137.25",0.00,"-9,150.15",9027390433,"Received 07/26/2015"
"07/27/15 03:28 PM",,"4,140.52",0.00,"-5,009.63",9027390400,"Received 07/26/2015"
"07/27/15 03:37 PM",,"2,573.53",0.00,"-2,436.10",9027394891,"Received 07/26/2015"
"07/29/15 02:33 PM",,"7,730.39",0.00,"5,294.29",9027401062,"Received 07/26/2015"
"07/28/15 02:50 PM",,"7,404.25",0.00,"12,698.54",9027394821,"Received 07/27/2015"
"07/27/15 03:33 PM",,"3,553.92",0.00,"16,252.46",9027394880,"Received 07/27/2015"
"07/30/15 10:05 AM",,"2,589.87",0.00,"18,842.33",9027399032,"Received 07/27/2015"
"07/30/15 11:37 AM",,"1,646.24",0.00,"20,488.57",9027399021,"Received 07/27/2015"
"07/30/15 12:04 PM",,"6,846.41",0.00,"27,334.98",9027402893,"Received 07/27/2015"
"07/30/15 04:13 PM",,"2,859.48",0.00,"30,194.46",9027402904,"Received 07/27/2015"
"07/30/15 04:05 PM",,"3,120.92",0.00,"33,315.37",9027402915,"Received 07/27/2015"
"07/30/15 03:12 PM",,"2,810.46",0.00,"36,125.83",9027402926,"Received 07/27/2015"
"08/05/15 11:40 AM",,"3,169.93",0.00,"39,295.76",2459845146,"Received 07/28/2015"
"07/30/15 04:35 PM",,"3,292.48",0.00,"42,588.25",2459846686,"Received 07/28/2015"
"07/28/15 12:00 AM",,0.00,"40,000.00","2,588.25",,
"07/31/15 10:06 AM",,"2,630.72",0.00,"5,218.97",2459849184,"Received 07/30/2015"
"08/05/15 02:35 PM",,"2,107.84",0.00,"7,326.81",4421094521,"Received 07/30/2015"
"08/03/15 03:28 PM",,"9,036.60",0.00,"16,363.41",2459956321,"Received 07/31/2015"
"07/31/15 12:00 AM","China Facility Support (12600 RMB with 6.12 exchange rate)","2,058.00",0.00,"18,421.41",,
"07/31/15 12:00 AM","Desire 610 LCD Screens","2,605.08",0.00,"21,026.49",,
"07/31/15 12:00 AM","BEST Tool Guy",777.77,0.00,"21,804.26",,
"08/03/15 10:40 AM",,"8,595.75",0.00,"30,400.01",4421099760,"Received 08/02/2015"
"08/06/15 02:01 PM",,"1,586.93",0.00,"31,986.94",4421091706,"Received 08/02/2015"
"08/04/15 02:34 PM",,"1,658.50",0.00,"33,645.44",4421097236,"Received 08/02/2015"
"08/03/15 11:15 AM",,"2,009.80",0.00,"35,655.24",9578956822,"Received 08/02/2015"
"08/04/15 02:40 PM",,"1,363.15",0.00,"37,018.40",4465740370,"Received 08/02/2015"
"08/04/15 10:01 AM",,"6,000.16",0.00,"43,018.56",4465695651,"Received 08/02/2015"
"08/04/15 03:17 PM",,"2,647.06",0.00,"45,665.62",4465742610,"Received 08/02/2015"
"08/04/15 04:32 PM",,"1,944.44",0.00,"47,610.06","4465743962	","Received 08/02/2015"
"08/03/15 12:00 AM",,0.00,"40,000.00","7,610.06",,
"08/05/15 11:55 AM",,"7,052.45",0.00,"14,662.51",3498393824,"Received 08/04/2015"
"08/06/15 12:02 PM",,"3,125.00",0.00,"17,787.51",3498472961,"Received 08/04/2015"
"08/05/15 03:16 PM",,"3,100.49",0.00,"20,888.00",3498475142,"Received 08/04/2015"
"08/04/15 12:00 AM",,0.00,"40,000.00","-19,112.00",,
"08/05/15 01:12 PM",,"7,892.65",0.00,"-11,219.35",1151022972,"Received 08/05/2015"
"08/06/15 01:19 PM",,"1,911.76",0.00,"-9,307.58",1151017022,"Received 08/05/2015"
"08/06/15 12:35 PM",,"2,148.69",0.00,"-7,158.89",1151014826,"Received 08/05/2015"
"08/07/15 02:32 PM",,"7,360.13",0.00,201.24,4545992990,"Received 08/06/2015"
"08/07/15 02:33 PM",,"2,352.94",0.00,"2,554.18",2348907794,"Received 08/06/2015"
"08/07/15 02:34 PM",,"3,725.49",0.00,"6,279.67",2348909463,"Received 08/06/2015"
