SKU,Title,"Raw Cost","Ex Rate","Shipping Fee","True Cost","Sale Price",MS,FZ,MG,MD
APL-001-0948,"LCD and Digitizer Assembly for GSM iPhone 4 Set Baby Blue",0.00,0.00,0.00,0.00,0.0000,,,13.50,
APL-001-0104S,"LCD and Touch Screen Digitizer Full Set for ATT iPhone 4  White",0.00,0.00,0.00,0.00,0.0000,,,13.50,
TAB-SRN-266,"Samsung Galaxy Tab 3 10.1 GT P5210 (Wifi Version) Digitizer White",60.00,6.85,6.30,9.68,0.0000,,,14.50,
APL-003-1412,"Proximity Light Sensor Power Button Mic Flex for ATT iPhone 4",0.00,0.00,0.00,0.00,0.0000,,7.99,,1.99
APL-001-0950,"LCD and Digitizer Assembly for GSM iPhone 4 Set Magenta",0.00,0.00,0.00,0.00,0.0000,,,13.50,
APL-001-0954,"LCD and Digitizer Assembly for GSM iPhone 4 Set Blue Mirror",0.00,0.00,0.00,0.00,0.0000,,,13.50,
APL-001-0956,"LCD and Digitizer Assembly for GSM iPhone 4 Set Pink Mirror",0.00,0.00,0.00,0.00,0.0000,,,13.50,
APL-001-0962,"LCD and Digitizer Assembly for CDMA iPhone 4  Full Set Red",0.00,0.00,0.00,0.00,0.0000,,,13.50,
APL-001-0964,"LCD and Digitizer Assembly for CDMA iPhone 4  Full Set Pink",0.00,0.00,0.00,0.00,0.0000,,,13.50,
APL-001-0966,"LCD and Digitizer Assembly for CDMA iPhone 4  Full Set Purple Mirror",0.00,0.00,0.00,0.00,0.0000,,,13.50,
APL-001-0968,"LCD and Digitizer Assembly for CDMA iPhone 4  Full Set Magenta",0.00,0.00,0.00,0.00,0.0000,,,13.50,
APL-001-0970,"LCD and Digitizer Assembly for CDMA iPhone 4  Full Set Orange",0.00,0.00,0.00,0.00,0.0000,,,13.50,
APL-001-0972,"LCD and Digitizer Assembly for CDMA iPhone 4  Full Set Blue Mirror",0.00,0.00,0.00,0.00,0.0000,,,13.50,
APL-001-0974,"LCD and Digitizer Assembly for CDMA iPhone 4  Full Set Pink Mirror",0.00,0.00,0.00,0.00,0.0000,,,13.50,
APL-001-0978,"LCD and Digitizer Assembly for CDMA iPhone 4  Full Set Zebra",0.00,0.00,0.00,0.00,0.0000,,,10.99,
APL-002-1316,"Metal Housing Back Plate Cover for iPhone 4S Purple",0.00,0.00,0.00,0.00,0.0000,,,1.99,
APL-001-0990,"LCD and Digitizer Assembly for iPhone 4S Full Set Pink",0.00,0.00,0.00,0.00,0.0000,,,13.50,
APL-001-0996,"LCD and Digitizer Assembly for iPhone 4S Full Set Purple Mirror",0.00,0.00,0.00,0.00,0.0000,,,13.50,
APL-001-1002,"LCD and Digitizer Assembly for iPhone 4S Full Set Zebra",0.00,0.00,0.00,0.00,0.0000,,,13.50,
APL-001-1004,"LCD and Digitizer Assembly for iPhone 4S Full Set Clear White",0.00,0.00,0.00,0.00,0.0000,,,13.50,
FLX-SAM-1028,"Samsung Galaxy Tab 3 10.1 3G GT-P5200/P5210 Charging Port Flex",15.00,6.82,0.90,2.33,0.0000,,7.99,3.00,3.99
APL-002-1236,"Rear Housing for iPhone 5 White",70.00,6.85,1.96,10.51,0.0000,,39.99,,8.49
APL-002-1238,"Rear Housing for iPhone 5 Black",70.00,6.60,1.97,10.90,0.0000,,,,11.99
APL-002-1242,"Rear Housing for iPhone 5 Green",0.00,0.00,0.00,0.00,0.0000,25.00,,,12.49
TAB-SRN-264,"Samsung Galaxy Tab 3 10.1 GT P5210 (Wifi Version) Digitizer Black",75.00,6.85,6.30,11.87,0.0000,,,14.50,
TAB-SRN-272,"Samsung Galaxy Tab 3 7.0 SM-T210 SM-3210 SM-T217 Digitizer White",40.00,6.85,2.24,6.17,0.0000,12.10,14.99,12.99,
APL-001-0098S,"LCD and Touch Screen Digitizer Full Set for ATT iPhone 4  Black",0.00,0.00,0.00,0.00,0.0000,,19.99,13.50,13.99
APL-001-0188S,"LCD and Touch Screen Digitizer Full Set for Verizon/Sprint iPhone 4 Black",0.00,0.00,0.00,0.00,0.0000,,19.49,13.50,
APL-001-0194S,"LCD and Touch Screen Digitizer Full Set for Verizon/Sprint iPhone 4 White",0.00,0.00,0.00,0.00,0.0000,,,13.50,
APL-001-0284S,"LCD and Touch Screen Digitizer Full Set for iPhone 4S White",0.00,0.00,0.00,0.00,0.0000,,,13.50,
APL-001-1020,"LCD and Digitizer Assembly  for GSM iPhone 4 Full Set Brown Tiger",0.00,0.00,0.00,0.00,0.0000,,,13.50,
APL-001-0908,"LCD and Digitizer Assembly  for GSM iPhone 4 Full Set Electric Pink",0.00,0.00,0.00,0.00,0.0000,,,10.99,
APL-001-1026,"LCD and Digitizer Assembly for CDMA iPhone 4  Full Set Brown Tiger",0.00,0.00,0.00,0.00,0.0000,,,13.50,
APL-001-1028,"LCD and Digitizer Assembly for CDMA iPhone 4  Full Set Clear Black",0.00,0.00,0.00,0.00,0.0000,,,13.50,
APL-001-1030,"LCD and Digitizer Assembly for CDMA iPhone 4  Full Set Glow in the Dark",0.00,0.00,0.00,0.00,0.0000,,,13.50,
APL-001-1038,"LCD and Digitizer Assembly for iPhone 4S Full Set Green Mirror",0.00,0.00,0.00,0.00,0.0000,,,13.50,
APL-001-1034,"LCD and Digitizer Assembly for iPhone 4S Full Set Brown Tiger",0.00,0.00,0.00,0.00,0.0000,,,13.50,
APL-001-1036,"LCD and Digitizer Assembly for iPhone 4S Full Set Clear Black",0.00,0.00,0.00,0.00,0.0000,,,13.50,
APL-001-1032,"LCD and Digitizer Assembly for iPhone 4S Full Set Blue Green Mirror",145.00,6.10,0.90,23.92,0.0000,,,13.50,
SRN-MOT-422,"Motorola Moto G XT1032 XT1036 LCD Touch Screen Digitizer Assembly",150.00,6.50,6.03,24.00,0.0000,,29.99,22.98,28.99
APL-001-1094,"LCD and Digitizer Assembly for CDMA iPhone 4  Full Set Green Mirror",0.00,0.00,0.00,0.00,0.0000,,,13.50,
FLX-SAM-1032,"Samsung Galaxy S5 LCD Touch Screen Tester Flex Cable",12.00,6.32,2.01,2.22,0.0000,4.49,,,3.99
APL-002-1318,"Metal Housing Back Plate Cover for iPhone 4S Pink",0.00,0.00,0.00,0.00,0.0000,,,1.99,
APL-002-1332,"Metal Housing Back Plate Cover for iPhone 4S Black",0.00,0.00,0.00,0.00,0.0000,,7.99,1.50,
APL-001-1156,"LCD and Digitizer Assembly for CDMA iPhone 4 Full Set Clear White",0.00,0.00,0.00,0.00,0.0000,,,13.50,
APL-002-1320,"Metal Housing Back Plate Cover for iPhone 4S Magenta",4.00,6.50,1.65,0.87,0.0000,,,1.99,
APL-002-1330,"Metal Housing Back Plate Cover for iPhone 4S Gray",0.00,0.00,0.00,0.00,0.0000,,,1.50,2.99
APL-002-1318,"Metal Housing Back Plate Cover for iPhone 4S Pink",0.00,0.00,0.00,0.00,0.0000,,,1.99,
