SKU,Name,Manufacturer,Model,Price,"Compatible Models",Parts,"Item Category","Supported Devices"
FLX-SAM-699,"Speaker Buzzer Flex Cable for Samsung Galaxy Nexus",Samsung,"Galaxy Nexus",0.9900,"i9250 (No Carrier)|i515 (Verizon)",Yes,"Internal Components",
FLX-HTC-450,"HTC Raider USB Charging Port Connector Flex Cable",HTC,"Raider 4G",0.9900,"PH39150 (No Carrier)",Yes,"Internal Components",
FLX-LGM-530,"LG Optimus G PRO E980 Complete Screw Set",LG,"Optimus G Pro",9.95,"E980 (AT&T)",Yes,"Internal Components",
ACC-APL-1177,"Alligator Skin Pouch Case for iPhone 4 4S Red",Apple,"iPhone 4",0.8900,"A1332 (AT&T)|A1332 (T-Mobile)|A1349 (Verizon)|A1349 (C-Spire)|A1431 (China)|A1387 (Verizon)|A1387 (Sprint)|A1387 (C-Spire)|A1387 (Metro PCS)|A1387 (Cricket)|A1387 (AT&T)|A1387 (T-Mobile)",No,Cases,"iPhone 4S"
BTY-COV-108,"HTC EVO 3D Battery Cover Back Door",HTC,"Evo 3D",4.9900,"G17 / X515m (No Carrier)|PG86100 (Sprint)|PG86100 (Virgin Mobile)",Yes,Housing,
FLX-LGM-154,"LG C800 Keyboard Keypad Flex Cable",LG,"myTouch Q",0.9900,"C800 (T-Mobile)",Yes,"Internal Components",
ACC-ZRT-225,"Adhesive Strips for iPod 4  Sheet of 10",Apple,"iPod Touch 4",1.30,,No,"Adhesive Kits",
FLX-LGM-156,"LG P920 Optimus 3D P925 Thrill Proximity Sensor Ear Piece Speaker Flex Cable",LG,"Optimus 3D",0.9900,"P920 (AT&T)|P925 (International)",Yes,"Internal Components",
ACC-APL-1180,"Clear Plastic Color Snap Case for iPhone 5 5S Pink",Apple,"iPhone 5",0.8900,"A1429 (Verizon)|A1429 (Sprint)|A1442 (China)|A1533  (AT&T)|A1533  (T-Mobile)|A1533  (Verizon)|A1533  (Sprint)|A1457 (AT&T)|A1457 (T-Mobile)|A1530 (AT&T)|A1530 (T-Mobile)|A1530 (China)|A1453 (Verizon)|A1453 (Sprint)|A1518 (China)|A1528 (China)",No,Cases,"iPhone 5S"
ACC-APL-1182,"Clear Plastic Color Snap Case for iPhone 5 5S Smoke",Apple,"iPhone 5",0.8900,"A1429 (Verizon)|A1429 (Sprint)|A1442 (China)|A1533  (AT&T)|A1533  (T-Mobile)|A1533  (Verizon)|A1533  (Sprint)|A1457 (AT&T)|A1457 (T-Mobile)|A1530 (AT&T)|A1530 (T-Mobile)|A1530 (China)|A1453 (Verizon)|A1453 (Sprint)|A1518 (China)|A1528 (China)",No,Cases,"iPhone 5S"
