SKU,Title,Quantity,"30 Days Item Sale","Raw Cost","Ex Rate","Shipping Fee","True Cost",D1,P1,"Sale Price",MS,FZ,MG,MD,ETS,MC,LL,P4C,CPH
SRN-NOK-092,"LCD + Touch Screen Digitizer for Nokia Lumia 925 Black Grade A",0,,0.00,0.00,0.00,0.00,44.9700,,0.0000,,,,,,,,,
SRN-NOK-122,"LCD + Touch Screen Digitizer for Nokia Lumia 925 Black Grade B",0,,0.00,0.00,0.00,0.00,44.7900,,0.0000,,,,,,,,,
SRN-NOK-078,"LCD + Touch Screen Digitizer with Frame for Nokia Lumia 1320 Black",2,,280.00,6.50,2.88,43.52,61.6300,56.0900,49.9900,,55.00,,,48.34,,,,
SRN-NOK-153,"Nokia Lumia 1520 LCD With Digitizer Assembly",2,,260.00,6.60,1.72,39.65,53.6400,48.7600,43.6900,,,,,48.02,,,55.00,
SRN-HUA-151,"Huawei Ascend G7 (G7-L01, G7-L03) LCD Assembly",0,,90.00,6.32,0.00,14.24,21.8300,19.6900,0.0000,,,,,,,,,
SRN-MOT-096,"Motorola Droid Razr XT910 XT912 LCD + Touch Screen Digitizer",0,,90.00,6.43,6.79,15.05,22.5800,20.3900,0.0000,,,,0.00,14.40,,,,
SRN-MOT-560,"Motorola Droid Razr XT910 XT912 LCD + Touch Screen Digitizer Grade B",0,,0.00,0.00,0.00,0.00,21.3700,,0.0000,,,,,,,,,
SRN-MOT-508,"Motorola Droid Razr XT910 XT912 LCD + Touch Screen Digitizer Grade A",0,,0.00,0.00,0.00,0.00,21.4500,,0.0000,,,,,,,,,
SRN-MOT-264,"Motorola Droid Razr HD XT926 LCD Digitizer Assembly - Cracked Glass",0,,0.00,0.00,0.00,0.00,48.9500,15.7900,0.0000,,,,,,,,,
SRN-MOT-274,"Motorola Droid Razr HD XT926 LCD Digitizer Assembly - White",14,,0.00,0.00,0.00,0.00,119.9500,84.1900,59.9900,,,,,,,,,
SRN-MOT-610,"Motorola Droid Turbo XT1254 LCD Assembly Black with Frame",1,10,320.00,6.56,7.93,49.99,91.0300,84.7200,57.4900,66.00,57.50,55.99,61.99,,,,,
SRN-MOT-644,"Motorola Droid Turbo XT1254 LCD Assembly Black - Grade A",0,,0.00,0.00,0.00,0.00,86.8200,,0.0000,,,,,,,,,
SRN-MOT-615,"Motorola Moto X 2nd Gen XT1095 XT1096 XT1097 LCD Assembly Black",2,,500.00,6.75,10.00,75.56,122.2900,113.8900,97.9900,103.00,107.50,0.00,99.99,,,,,
