SKU,ItemName,"Raw Cost","True Cost",Default,D1,D3,D10,L1,L3,L10,B1,B3,B10,S1,S3,S10,G1,G3,G10,P1,P3,P10,Dm1,Dm3,Dm10,"is ignored?"
APL-001-1989,"LCD and Touch Screen Digitizer For Verizon/Sprint IPhone 4 Zebra - Grade C",0,0,15.9500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
APL-001-1987,"LCD and Touch Screen Digitizer For Verizon/Sprint IPhone 4 Zebra  - Grade A",0,0,17.9500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
APL-001-1991,"LCD and Touch Screen Digitizer For IPhone 4S Zebra - Grade A",0,0,17.9500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
APL-001-2025,"LCD and Touch Screen Digitizer For Verizon/Sprint IPhone 4 Purple Mirror - Grade C",0,0,15.9500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
APL-001-1992,"LCD and Touch Screen Digitizer For IPhone 4S Zebra - Grade B",0,0,16.9500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
APL-001-1988,"LCD and Touch Screen Digitizer For Verizon/Sprint IPhone 4 Zebra  - Grade B",0,0,16.9500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
APL-001-2036,"LCD and Touch Screen Digitizer For Verizon/Sprint IPhone 4 Electric Pink - Grade A",0,0,17.9500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
APL-001-1995,"LCD and Touch Screen Digitizer For ATT IPhone 4 Zebra - Grade A",0,0,17.9500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
APL-001-1996,"LCD and Touch Screen Digitizer For ATT IPhone 4 Zebra - Grade B",0,0,16.9500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
APL-001-1997,"LCD and Touch Screen Digitizer For ATT IPhone 4 Zebra - Grade C",0,0,15.9500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
APL-001-1999,"LCD and Touch Screen Digitizer For Verizon/Sprint IPhone 4 Black Dalmatian - Grade A",0,0,17.9500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
APL-001-2000,"LCD and Touch Screen Digitizer For Verizon/Sprint IPhone 4 Black Dalmatian - Grade B",0,0,16.9500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
APL-001-2001,"LCD and Touch Screen Digitizer For Verizon/Sprint IPhone 4 Black Dalmatian - Grade C",0,0,15.9500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TAB-SRN-585,"Nextbook 8 Tablet Model NX008HD8G Motherboard Logic Board Battery No Power  Used",0,0,5.9500,10.73,10.9,0,10.62,10.79,0,0,0,0,10.62,10.79,0,10.62,10.79,0,10.69,10.79,0,10.62,10.79,0,0
APL-001-2032,"LCD and Touch Screen Digitizer For Verizon/Sprint IPhone 4 Chrome Mirror - Grade B",0,0,16.9500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
APL-001-2008,"LCD and Touch Screen Digitizer For ATT IPhone 4 Black Dalmatian - Grade B",0,0,16.9500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
APL-001-2004,"LCD and Touch Screen Digitizer For IPhone 4S Black Dalmatian - Grade B",0,0,16.9500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
APL-001-2020,"LCD and Touch Screen Digitizer For Verizon/Sprint IPhone 4 Gray Dalmatian - Grade B",0,0,16.9500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
APL-001-2013,"LCD and Touch Screen Digitizer For IPhone 4S Gray Dalmatian - Grade C",0,0,15.9500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
