"Date Updated",User,SKU,"Item Name","Price Type","Old Price","New Price"
"2018-06-07 11:03:02",Faheem,APL-003-1505,"Rear Camera with Flex Cable for iPhone 6 Plus",Sale,$13.99,$12.49
"2018-06-07 11:03:03",Faheem,APL-003-1505,"Rear Camera with Flex Cable for iPhone 6 Plus","Platinum 1",$12.73,$18.99
"2018-06-07 11:04:25",Faheem,APL-003-1504,"Back Flex Cable for iPhone 6 Plus",Sale,$1.69,$1.39
"2018-06-07 11:04:26",Faheem,APL-003-1504,"Back Flex Cable for iPhone 6 Plus","Platinum 1",$3.43,$4.68
"2018-06-07 11:09:44",Faheem,APL-003-1424,"Home Button Assembly for iPhone 6 & 6 Plus – White / Silver",Sale,$1.59,$1.29
"2018-06-07 11:09:44",Faheem,APL-003-1424,"Home Button Assembly for iPhone 6 & 6 Plus – White / Silver","Platinum 1",$3.59,$4.35
"2018-06-07 11:11:21",Faheem,APL-003-1420,"Wifi Antenna Flex Cable for Apple iPhone 6",Sale,$0.89,$0.59
"2018-06-07 11:11:21",Faheem,APL-003-1420,"Wifi Antenna Flex Cable for Apple iPhone 6","Platinum 1",$1.49,$1.90
"2018-06-07 11:13:16",Faheem,APL-003-1532,"Front Camera with Proximity Sensor Flex Cable for iPhone 6",Sale,$3.49,$2.99
"2018-06-07 11:13:16",Faheem,APL-003-1532,"Front Camera with Proximity Sensor Flex Cable for iPhone 6","Platinum 1",$3.49,$6.39
"2018-06-07 11:14:00",Faheem,APL-003-1438,"Loud Speaker for iPhone 6",Sale,$1.39,$1.09
"2018-06-07 11:14:27",Faheem,APL-003-1438,"Loud Speaker for iPhone 6","Platinum 1",$2.55,$3.31
"2018-06-07 11:16:52",Faheem,APL-003-1428,"Home Button Assembly for iPhone 6 & 6 Plus – Black",Sale,$1.59,$1.29
"2018-06-07 11:16:52",Faheem,APL-003-1428,"Home Button Assembly for iPhone 6 & 6 Plus – Black","Platinum 1",$3.29,$4.07
"2018-06-07 11:19:12",Faheem,APL-003-1422,"Rear Camera for iPhone 6",Sale,$3.69,$3.19
"2018-06-07 11:19:12",Faheem,APL-003-1422,"Rear Camera for iPhone 6","Platinum 1",$4.99,$7.99
"2018-06-07 11:24:33",Faheem,APL-003-1436,"Power Button Flex Cable for iPhone 6",Sale,$2.19,$1.99
"2018-06-07 11:24:33",Faheem,APL-003-1436,"Power Button Flex Cable for iPhone 6","Platinum 1",$4.99,$6.73
"2018-06-07 11:27:22",Faheem,APL-003-1426,"Home Button Assembly for iPhone 6 & 6 Plus – White / Gold",Sale,$1.59,$1.29
"2018-06-07 11:27:22",Faheem,APL-003-1426,"Home Button Assembly for iPhone 6 & 6 Plus – White / Gold","Platinum 1",$3.39,$4.12
"2018-06-07 11:37:17",Faheem,APL-003-1330,"Home Button with Flex Cable for iPhone 5S - Silver",Sale,$1.59,$1.49
"2018-06-07 11:38:11",Faheem,APL-003-1304,"Headphone Jack Charging Port Flex Cable for iPhone 5S Black",Sale,$2.19,$2.09
"2018-06-07 11:38:12",Faheem,APL-003-1304,"Headphone Jack Charging Port Flex Cable for iPhone 5S Black","Default 1",$6.99,$4.99
"2018-06-07 11:38:12",Faheem,APL-003-1304,"Headphone Jack Charging Port Flex Cable for iPhone 5S Black","Platinum 1",$3.63,$4.99
"2018-06-07 11:40:14",Faheem,APL-003-1648,"Home Button with Flex Cable Ribbon for iPhone 5S - Gold",Sale,$1.59,$1.39
"2018-06-07 11:40:14",Faheem,APL-003-1648,"Home Button with Flex Cable Ribbon for iPhone 5S - Gold","Platinum 1",$4.19,$5.63
"2018-06-07 12:01:29",Faheem,APL-003-1310,"Front Camera with Proximity Sensor Flex Cable for iPhone 5S SE",Sale,$3.69,$3.49
"2018-06-07 12:01:30",Faheem,APL-003-1310,"Front Camera with Proximity Sensor Flex Cable for iPhone 5S SE","Default 1",$6.57,$6.99
"2018-06-07 12:01:30",Faheem,APL-003-1310,"Front Camera with Proximity Sensor Flex Cable for iPhone 5S SE","Platinum 1",$5.16,$6.99
"2018-06-07 12:13:31",Faheem,APL-003-1356,"Home Button for iPhone 5c Black",Sale,$0.79,$0.69
"2018-06-07 12:13:31",Faheem,APL-003-1356,"Home Button for iPhone 5c Black","Platinum 1",$1.19,$1.35
"2018-06-07 12:14:35",Faheem,APL-003-1314,"Charging Port and Headphone Jack Flex Assembly for iPhone 5c",Sale,$2.49,$2.19
"2018-06-07 12:14:49",Faheem,APL-003-1314,"Charging Port and Headphone Jack Flex Assembly for iPhone 5c","Platinum 1",$3.61,$4.93
"2018-06-07 12:32:31",Faheem,APL-003-1512,"Charging Port with Flex Cable for iPad Air 2 - Black",Sale,$1.89,$2.99
"2018-06-07 12:34:30",Faheem,APL-003-1512,"Charging Port with Flex Cable for iPad Air 2 - Black",Sale,$2.99,$2.59
"2018-06-07 12:34:45",Faheem,APL-003-1512,"Charging Port with Flex Cable for iPad Air 2 - Black","Platinum 1",$5.73,$7.29
"2018-06-07 12:36:43",Faheem,APL-001-2325,"LCD and Touch Screen Digitizer for iPad Pro 9.7 - Black (Standard)",Sale,$138.99,$138.79
"2018-06-07 12:36:43",Faheem,APL-001-2325,"LCD and Touch Screen Digitizer for iPad Pro 9.7 - Black (Standard)","Platinum 1",$138.99,$169.99
"2018-06-07 12:37:29",Faheem,SRN-SAM-1532,"LCD and Touch Screen Digitizer for Samsung Galaxy J7 (J700) 2015 - Gold",Sale,$63.99,$63.69
